names,authors,descrips,paragraphs
Indestructible,Alexthw46,"Client and server, Equipment, Utility, Forge, NeoForge","Adds the Indestructible enchantment.Applied with an in-world recipe, not the enchanting table."
CloseQuartersConcoctions,deflatedpickle,"Client and server, Cursed, Utility, Fabric, Quilt",Lets you smash bottles on other players
ForgeAutoShutdown 1.12.2,Targren,"Client and server, Utility, Forge","Stop your server at a certain time, after a certain amount of uptime, or upon user vote"
CartLoad,FalsePattern,"Server, Transportation, Utility, Forge","Makes all minecarts chunkload their surroundings, but only when they're in motion."
AutoAuth,EnergoStalin,"Client, Utility, Fabric",Client mod for managing AuthMe basic authentication
Ocean Blender,Viola-Siemens,"Server, Library, World Generation, Forge",Make Ocean World and TerraBlender work together
Dimensional Totem,kittech,"Client and server, Adventure, Transportation, Fabric, Quilt",Totem to get into dimensions
kajava,kadir1243,"Client and server, Library, Fabric",this mod allows loading class files in to minecraft
Slimy,JarPish,"Client and server, Mobs, Fabric",Turns Minecraft world into Slime Rancher world
Better Combat Fixes,Vivi,"Client and server, Equipment, Forge",Fixes issues with some mods and Better Combat
Cluttered Creative,TheClashFruit,"Client, Game Mechanics, Fabric",Bring back the old cluttered creative inventory.
PlantusMaximus,sognefej,"Client and server, Equipment, Food, Utility, Fabric",Plant more better!
Housing,cedr0u,"Client and server, Decoration, Game Mechanics, World Generation, Forge",Housing Mod is a captivating Minecraft mod that transports you to a parallel dimension for creating and customizing your dream sanctuary. With a perfect balance of adventure and relaxation.
Bodyguard,ModdyCraft,"Client and server, Equipment, Mobs, Forge","Bodyguard is a mod with which you can feel safe now. It's no longer difficult to have someone following you everywhere to protect you, someone you hire to cover you from dangers."
Saro«s Parkour Blocks,Sarocesch,"Client and server, Management, Transportation, World Generation, Forge",Adds blocks with abilities To Create a Parkour
Incorporeal 2 + Rhododendrite,quat,"Client and server, Magic, Storage, Forge",Botania addons for 1.16/Forge. More toys and tools for large-scale corporea networks.
Featurosity,Declipsonator,"Client and server, Decoration, Game Mechanics, Utility, Fabric, Forge",A mod devoted to enhancing useless/pointless Minecraft features.
Thorium Reactors,UnhappyWithoutU,"Client and server, Storage, Technology, Utility, Forge, NeoForge","A forge mod adding a thorium reactor, including many ores, resources, machines, recipes, mod-integrations, advancements, a turbine and of course even more!"
Sketchbook,schnow265,"Client and server, Equipment, Utility, Fabric",NO DRAWING UTILS PROVIDED - Little things with big impact
The Ducks,YourDailyModder,"Client and server, Food, Mobs, Fabric, Forge",Add ducks to the game.
BlueMap Player Visibility,RomixTheCat,"Server, Utility, Fabric",Fabric mod that allows you to show/hide players on BlueMap
FunkyFrames,jaredlll08,"Client and server, Fabric, Forge",Paintings feel too static? Try some Funky Frames
Aspect Tweaker,asanetargoss,"Client, Library, Forge",CraftTweaker add-on for Minecraft 1.10.2 and Thaumcraft 6
I'mACat Coordinates Mod,quentin452,"Client, Utility, Forge","A lightweight Mod that Show coordinates,cardinal points and fps in game"
Iglee's Library,iglee42,"Client and server, Library, Forge",The library of all mods from Iglee42
Custom Map Resetter,tildejustin,"Client, Utility, Fabric, Quilt","map resetter in the spirit of Atum, made with the CTM (Complete the Monument) community in mind"
Simple Player Heads,fliplus,"Server, Utility, Fabric",Introduces a command that allows players to acquire player heads.
Let's do a jumpscare,charlsen,"Client, Cursed, Fabric",The darkness lingers in the inventory!
HalfShadow's Chemistry Mod,HalfShadow111,"Client or server, Technology, Forge",?Minecraft: Education Edition?????Minecraft: Java Edition? Bring items from Minecraft: Education Edition into Minecraft: Java Edition!
Evasive Items,Mrbysco,"Client and server, Game Mechanics, Forge, NeoForge",Items move away from the player if they are being directly looked at
Item Commander,Camper_Samu,"Server, Cursed, Utility, Fabric, Quilt",A simple Serverside Fabric mod that allows you to assign commands to Item(Stacks)
Bits Of Bark,GlowSand,"Client and server, Food, Utility, Fabric",Allows fully configurable way of un-stripping log in a vanilla+ style
Dark Caverns,freerangerstudios,"Client and server, Adventure, Equipment, World Generation, Forge",A dark dimension hidden below bedrock
Spartans Above Diamonds,Vetpetmon-Labs,"Client and server, Equipment, Forge",Addon for Spartan's Weaponry that adds support for Ores Above Diamonds
PizzaGuysMovement,baguchan,"Client and server, Cursed, Game Mechanics, Forge",This mod replace some player movement to pizza tower's peppino movement!
CustomGive,LianJordaan,"Client, Utility, Fabric",`CustomGive Mod` is a Minecraft utility that lets you quickly obtain custom items with specific NBT data from your clipboard. Simply use the `/customgive` command to receive the custom stone block in Creative mode.
Throwing Dynamite,vrs2210,"Client and server, Equipment, Fabric","Throwing Dynamite adds dynamite to the game, included in the mod are throwable dynamites of different types, some simply explode more than the normal dynamite, and some spawn fire when they explode."
Presencium,splittque,"Client, Utility, Fabric, Quilt",Minecraft status in discord!
Colored Lux,Zeitheron,"Client, Decoration, Game Mechanics, Library, Forge",Colored lighting engine in Minecraft!
FTBChecker,SajmonOriginal,"Client, Utility, Forge","FTB Checker is a mod that ensures the presence of FTB mods in your modpack. If any of these mods are missing, a warning screen will be displayed before entering the main menu, providing download links for the missing mods."
Quick Effect,rirust,"Client and server, Game Mechanics, Fabric, Forge",Allows potion effects to be gained through their ingredients without brewing
DOORS Mod,KingAlextheKing,"Client and server, Mobs, Forge",A functioning roblox doors mod.
Wax And Honey,Pretentious Kid,"Client and server, Decoration, Food, Technology, Forge",Mod complements the bee update of Minecraft!
WarpSigns,reyemxela,"Server, Transportation, Utility, Fabric",A simple mod that lets you pair sets of signs together to allow teleporting between them.
UPC,fooooooooooooooo,"Client and server, Technology, Fabric",Adds a block to convert between Tech Reborn and Modern Industrialization energy
JJCalculator,JavaJumper,"Client, Management, Utility, Fabric",Clientside /calc command
Dredge,GlitchedMastery,"Client and server, Adventure, Mobs, Forge",Adds A Funky New Creature To The End
Cold Snap Horde,CartoonishVillain,"Client and server, Equipment, Game Mechanics, Mobs, Forge","Adds a frosty band of misfit snowmen, hellbent on causing chaos."
Dangerous Gunpowder Fabric,esWhistler,"Client and server, Cursed, Fabric",Ever placed gunpowder in a furnance and were disappointed it didn't explode? Do I have a mod for you!
Variant Tools and Weaponry - Tools and Swords,YourDailyModder,"Client and server, Equipment, Fabric, Forge",This mod enables the players to make tools and swords from more materials.
QuitConfirm,Nixuge,"Client, Utility, Forge",A simple legacy mod that asks for a confirmation before disconnecting/leaving a world/quitting the game
Let It Grow,Ecorous,"Client and server, Utility, Fabric, Quilt",Lets cactus and sugar cane grow higher
PangTeen's Lib,PangTeen,"Client and server, Library, Mobs, Utility, Forge",An open source library for other mods
Interlink,ModFest,"Server, Management, Social, Utility, Fabric, Quilt",Discord chat link and crash report linking
Victorian Gewgaws,nincodedo,"Server, Fabric","Various new vanilla compatible enchantments, abilities, etc"
Limitless Options,tibinonest,"Client, Cursed, Utility, Quilt",Remove the options limit that Mojang added in 1.19
The Kabbalah Block,kreezxil,"Client and server, Decoration, Utility, Forge",A block that drops English letters for use with datapacks that make recipes out of them.
Click for Hot Chicks,kmfisk,"Client and server, Decoration, Food, Mobs, Forge",A livestock and farming mod with a truly terrible name.
Thaumcraft Aspect Creator,michelegargiulo,"Client and server, Magic, Utility, Forge",A Minecraft mod that allows modpack makers to define and add to Thaumcraft custom aspects
Vending machines,screret,"Client and server, Decoration, Economy, Storage, Forge",a simple vending machine mod. money included.
RaUt2,JFronny,"Client and server, Equipment, Storage, Fabric",Misc utilities for modded worlds
MaxHealthFixFixFix,unilock,"Client and server, Equipment, Game Mechanics, Utility, Fabric, Quilt",The max health fix mod to put the max health in your fix fix fix (works with Trinkets)
Steak is not a Potion,awwshoot,"Client and server, Food, Fabric, Quilt",Changes natural regeneration to be much slower and not consume saturation
Baked,KingAchake,"Client and server, Adventure, Food, Fabric, Quilt",A mod that adds basic baked foods to MineCraft (WIP)
Pelmen [Fabric],theoness1,"Client and server, Food, Fabric",Mod adds Russian pelmens
Resource Engineering,kg6jay,"Client and server, Equipment, World Generation, Forge",Gathering resources from unexpected places
Cheat Like Defnot,earthcomputer,"Server, Management, Utility, Fabric, Quilt",For servers that want players to be able to cheat like defnot
Hopper,quat,"Client and server, Technology, Transportation, Utility, Forge",Adds hoppers to Minecraft!
Caves & Cliffs: Sculk,FoundationGames,"Client and server, Decoration, Fabric","Adds Sculk Sensors, Sculk blocks, Slate, and Candles from the 1.17 update."
Post Office,shantek,"Server, Game Mechanics, Management, Utility, Bukkit, Forge, Paper, Purpur, Spigot","Set up a full working post office system for your Minecraft SMP. Barrels act as a 1 way post box, allowing everyone to place items in, but only allowing the owner to remove them. Comes complete with a notification system when logging in to the server."
Tridents 'n' Stuff,fzzyhmstrs,"Client and server, Adventure, Equipment, Fabric, Quilt","Adds a variety of craftable and unique new tridents, as well as other pokey weapons including spears and harpoons!"
Tool's Complement: Create,mrthomas20121,"Client and server, Equipment, Utility, Forge",Tool's Complement tools made from create materials.
QDC BiomePortal,Dr-Sam-Right,"Client and server, Magic, Transportation, Forge",Portal used to teleport to nearby biomes. Both Portal Tablet and Portal Core are needed to use the portal
Traveler's Dream,PixelationDev,"Client and server, Adventure, Equipment, World Generation, Fabric, Forge","The Traveler's Dream mod is full of rare ores, cool blocks, dimensions, and many other stuff. This mod is in beta, so there isn't that much stuff."
Wastelands of Baedoor,toma400,"Client and server, Adventure, Equipment, Utility, Forge",Steampunk themed mod adding firearms and airships
Working Ferris Wheels,MagmaSlime_123,"Decoration, Transportation, Data Pack, Fabric, Forge, NeoForge, Quilt",Adds functional and rideable Ferris Wheels to Minecraft!
Gunpowder+,fran6,"Client and server, Utility, Forge",An Remake of Minecraft's Gunpowder
Wither Skeleton No Drop Sword,fabbe50,"Server, Game Mechanics, Fabric, Forge",Stops wither skeleton from dropping their stone sword.
Easy Navigator,JustAlittleWolf,"Client, Management, Transportation, Utility, Fabric",Navigate coordinates efficiently by having a compass that shows you the way!
Registry Library,CodeCraftPlugin,"Server, Library, Fabric",this is a mod library used for making mods clean and simple with the coding part you will not have to create any custom methods for registering  Happy Modding
Yeet,tropheusj,"Client and server, Game Mechanics, Transportation, Utility, Quilt",A mod about throwing things.
FTB Quests: Localization Keys Refabricated,Yjn024,"Server, Utility, Fabric, Quilt",Generate translation keys for FTB Quests
